f_S[GHz],real(Zin),imag(Zin)
-7.08,6.12E-02,72.59
-7.07,6.13E-02,72.69
-7.06,6.14E-02,72.8
-7.05,6.16E-02,72.9
-7.04,6.17E-02,73.01
-7.03,6.18E-02,73.11
-7.02,6.19E-02,73.21
-7.01,6.21E-02,73.32
-7,6.22E-02,73.42
-6.99,6.23E-02,73.53
-6.98,6.25E-02,73.64
-6.97,6.26E-02,73.74
-6.96,6.27E-02,73.85
-6.95,6.29E-02,73.96
-6.94,6.30E-02,74.06
-6.93,6.31E-02,74.17
-6.92,6.33E-02,74.28
-6.91,6.34E-02,74.39
-6.9,6.35E-02,74.5
-6.89,6.37E-02,74.6
-6.88,6.38E-02,74.71
-6.87,6.39E-02,74.82
-6.86,6.41E-02,74.93
-6.85,6.42E-02,75.04
-6.84,6.44E-02,75.15
-6.83,6.45E-02,75.26
-6.82,6.46E-02,75.37
-6.81,6.48E-02,75.49
-6.8,6.49E-02,75.6
-6.79,6.50E-02,75.71
-6.78,6.52E-02,75.82
-6.77,6.53E-02,75.93
-6.76,6.55E-02,76.05
-6.75,6.56E-02,76.16
-6.74,6.57E-02,76.27
-6.73,6.59E-02,76.39
-6.72,6.60E-02,76.5
-6.71,6.62E-02,76.62
-6.7,6.63E-02,76.73
-6.69,6.64E-02,76.85
-6.68,6.66E-02,76.96
-6.67,6.67E-02,77.08
-6.66,6.69E-02,77.2
-6.65,6.70E-02,77.31
-6.64,6.72E-02,77.43
-6.63,6.73E-02,77.55
-6.62,6.75E-02,77.67
-6.61,6.76E-02,77.78
-6.6,6.78E-02,77.9
-6.59,6.79E-02,78.02
-6.58,6.80E-02,78.14
-6.57,6.82E-02,78.26
-6.56,6.83E-02,78.38
-6.55,6.85E-02,78.5
-6.54,6.86E-02,78.62
-6.53,6.88E-02,78.74
-6.52,6.89E-02,78.87
-6.51,6.91E-02,78.99
-6.5,6.92E-02,79.11
-6.49,6.94E-02,79.23
-6.48,6.95E-02,79.36
-6.47,6.97E-02,79.48
-6.46,6.98E-02,79.6
-6.45,7.00E-02,79.73
-6.44,7.01E-02,79.85
-6.43,7.03E-02,79.98
-6.42,7.05E-02,80.1
-6.41,7.06E-02,80.23
-6.4,7.08E-02,80.36
-6.39,7.09E-02,80.48
-6.38,7.11E-02,80.61
-6.37,7.12E-02,80.74
-6.36,7.14E-02,80.86
-6.35,7.15E-02,80.99
-6.34,7.17E-02,81.12
-6.33,7.19E-02,81.25
-6.32,7.20E-02,81.38
