f_S[GHz],real(Zin),imag(Zin),,,
-9.31,6.10E-03,8.478,,,
-9.3,6.12E-03,8.487,,,
-9.29,6.13E-03,8.497,,,
-9.28,6.14E-03,8.506,,,
-9.27,6.15E-03,8.515,,,
-9.26,6.16E-03,8.524,,,
-9.25,6.17E-03,8.533,,,
-9.24,6.18E-03,8.543,,,
-9.23,6.19E-03,8.552,,,
-9.22,6.20E-03,8.561,,,
-9.21,6.21E-03,8.571,,,
-9.2,6.23E-03,8.58,,,
-9.19,6.24E-03,8.589,,,
-9.18,6.25E-03,8.599,,,
-9.17,6.26E-03,8.608,,,
-9.16,6.27E-03,8.617,,,
-9.15,6.28E-03,8.627,,,
-9.14,6.29E-03,8.636,,,
-9.13,6.31E-03,8.646,,,
-9.12,6.32E-03,8.655,,,
-9.11,6.33E-03,8.665,,,
-9.1,6.34E-03,8.674,,,
-9.09,6.35E-03,8.684,,,
-9.08,6.36E-03,8.694,,,
-9.07,6.37E-03,8.703,,,
-9.06,6.39E-03,8.713,,,
-9.05,6.40E-03,8.722,,,
-9.04,6.41E-03,8.732,,,
-9.03,6.42E-03,8.742,,,
-9.02,6.43E-03,8.752,,,
-9.01,6.44E-03,8.761,,,
-9,6.46E-03,8.771,,,
-8.99,6.47E-03,8.781,,,
-8.98,6.48E-03,8.791,,,
-8.97,6.49E-03,8.8,,,
-8.96,6.50E-03,8.81,,,
-8.95,6.52E-03,8.82,,,
-8.94,6.53E-03,8.83,,,
-8.93,6.54E-03,8.84,,,
-8.92,6.55E-03,8.85,,,
-8.91,6.56E-03,8.86,,,
-8.9,6.58E-03,8.87,,,
-8.89,6.59E-03,8.88,,,
-8.88,6.60E-03,8.89,,,
-8.87,6.61E-03,8.9,,,
-8.86,6.62E-03,8.91,,,
-8.85,6.64E-03,8.92,,,
-8.84,6.65E-03,8.93,,,
-8.83,6.66E-03,8.94,,,
-8.82,6.67E-03,8.951,,,
-8.81,6.69E-03,8.961,,,
-8.8,6.70E-03,8.971,,,
-8.79,6.71E-03,8.981,,,
-8.78,6.72E-03,8.991,,,
-8.77,6.74E-03,9.002,,,
-8.76,6.75E-03,9.012,,,
-8.75,6.76E-03,9.022,,,
-8.74,6.77E-03,9.033,,,
-8.73,6.79E-03,9.043,,,
-8.72,6.80E-03,9.054,,,
-8.71,6.81E-03,9.064,,,
-8.7,6.82E-03,9.074,,,
-8.69,6.84E-03,9.085,,,
-8.68,6.85E-03,9.095,,,
-8.67,6.86E-03,9.106,,,
-8.66,6.87E-03,9.116,,,
-8.65,6.89E-03,9.127,,,
-8.64,6.90E-03,9.138,,,
-8.63,6.91E-03,9.148,,,
-8.62,6.93E-03,9.159,,,
-8.61,6.94E-03,9.17,,,
-8.6,6.95E-03,9.18,,,
-8.59,6.97E-03,9.191,,,
-8.58,6.98E-03,9.202,,,
-8.57,6.99E-03,9.212,,,
-8.56,7.01E-03,9.223,,,
-8.55,7.02E-03,9.234,,,
-8.54,7.03E-03,9.245,,,
-8.53,7.04E-03,9.256,,,
-8.52,7.06E-03,9.267,,,
-8.51,7.07E-03,9.278,,,
-8.5,7.09E-03,9.289,,,
-8.49,7.10E-03,9.3,,,
-8.48,7.11E-03,9.311,,,
-8.47,7.13E-03,9.322,,,
-8.46,7.14E-03,9.333,,,
-8.45,7.15E-03,9.344,,,
-8.44,7.17E-03,9.355,,,
-8.43,7.18E-03,9.366,,,
-8.42,7.19E-03,9.377,,,
-8.41,7.21E-03,9.388,,,
-8.4,7.22E-03,9.4,,,
-8.39,7.23E-03,9.411,,,
-8.38,7.25E-03,9.422,,,
-8.37,7.26E-03,9.433,,,
-8.36,7.28E-03,9.445,,,
-8.35,7.29E-03,9.456,,,
-8.34,7.30E-03,9.467,,,
-8.33,7.32E-03,9.479,,,
-8.32,7.33E-03,9.49,,,
-8.31,7.35E-03,9.502,,,
-8.3,7.36E-03,9.513,,,
-8.29,7.37E-03,9.525,,,
-8.28,7.39E-03,9.536,,,
-8.27,7.40E-03,9.548,,,
-8.26,7.42E-03,9.559,,,
