f_S[GHz],real(Zin),imag(Zin),,,,,
-10.1,3.46E-02,50.79,,,,,
-10.09,3.46E-02,50.84,,,,,
-10.08,3.47E-02,50.89,,,,,
-10.07,3.48E-02,50.94,,,,,
-10.06,3.48E-02,50.99,,,,,
-10.05,3.49E-02,51.04,,,,,
-10.04,3.49E-02,51.09,,,,,
-10.03,3.50E-02,51.14,,,,,
-10.02,3.51E-02,51.19,,,,,
-10.01,3.51E-02,51.25,,,,,
-10,3.52E-02,51.3,,,,,
-9.99,3.52E-02,51.35,,,,,
-9.98,3.53E-02,51.4,,,,,
-9.97,3.54E-02,51.45,,,,,
-9.96,3.54E-02,51.5,,,,,
-9.95,3.55E-02,51.56,,,,,
-9.94,3.55E-02,51.61,,,,,
-9.93,3.56E-02,51.66,,,,,
-9.92,3.57E-02,51.71,,,,,
-9.91,3.57E-02,51.76,,,,,
-9.9,3.58E-02,51.82,,,,,
-9.89,3.59E-02,51.87,,,,,
-9.88,3.59E-02,51.92,,,,,
-9.87,3.60E-02,51.97,,,,,
-9.86,3.60E-02,52.03,,,,,
-9.85,3.61E-02,52.08,,,,,
-9.84,3.62E-02,52.13,,,,,
-9.83,3.62E-02,52.19,,,,,
-9.82,3.63E-02,52.24,,,,,
-9.81,3.63E-02,52.29,,,,,
-9.8,3.64E-02,52.35,,,,,
-9.79,3.65E-02,52.4,,,,,
-9.78,3.65E-02,52.45,,,,,
-9.77,3.66E-02,52.51,,,,,
-9.76,3.67E-02,52.56,,,,,
-9.75,3.67E-02,52.62,,,,,
-9.74,3.68E-02,52.67,,,,,
-9.73,3.69E-02,52.72,,,,,
-9.72,3.69E-02,52.78,,,,,
-9.71,3.70E-02,52.83,,,,,
-9.7,3.70E-02,52.89,,,,,
-9.69,3.71E-02,52.94,,,,,
-9.68,3.72E-02,53,,,,,
-9.67,3.72E-02,53.05,,,,,
-9.66,3.73E-02,53.11,,,,,
-9.65,3.74E-02,53.16,,,,,
-9.64,3.74E-02,53.22,,,,,
-9.63,3.75E-02,53.27,,,,,
-9.62,3.76E-02,53.33,,,,,
-9.61,3.76E-02,53.38,,,,,
-9.6,3.77E-02,53.44,,,,,
-9.59,3.78E-02,53.5,,,,,
-9.58,3.78E-02,53.55,,,,,
-9.57,3.79E-02,53.61,,,,,
-9.56,3.80E-02,53.66,,,,,
-9.55,3.80E-02,53.72,,,,,
-9.54,3.81E-02,53.78,,,,,
-9.53,3.82E-02,53.83,,,,,
-9.52,3.82E-02,53.89,,,,,
-9.51,3.83E-02,53.95,,,,,
-9.5,3.84E-02,54,,,,,
-9.49,3.84E-02,54.06,,,,,
-9.48,3.85E-02,54.12,,,,,
-9.47,3.86E-02,54.17,,,,,
-9.46,3.86E-02,54.23,,,,,
-9.45,3.87E-02,54.29,,,,,
-9.44,3.88E-02,54.35,,,,,
-9.43,3.88E-02,54.41,,,,,
-9.42,3.89E-02,54.46,,,,,
-9.41,3.90E-02,54.52,,,,,
-9.4,3.90E-02,54.58,,,,,
-9.39,3.91E-02,54.64,,,,,
-9.38,3.92E-02,54.7,,,,,
-9.37,3.93E-02,54.75,,,,,
-9.36,3.93E-02,54.81,,,,,
-9.35,3.94E-02,54.87,,,,,
-9.34,3.95E-02,54.93,,,,,
-9.33,3.95E-02,54.99,,,,,
-9.32,3.96E-02,55.05,,,,,
-9.31,3.97E-02,55.11,,,,,
-9.3,3.98E-02,55.17,,,,,
-9.29,3.98E-02,55.23,,,,,
-9.28,3.99E-02,55.29,,,,,
-9.27,4.00E-02,55.35,,,,,
-9.26,4.00E-02,55.41,,,,,
-9.25,4.01E-02,55.47,,,,,
-9.24,4.02E-02,55.53,,,,,
-9.23,4.03E-02,55.59,,,,,
-9.22,4.03E-02,55.65,,,,,
-9.21,4.04E-02,55.71,,,,,
-9.2,4.05E-02,55.77,,,,,
-9.19,4.05E-02,55.83,,,,,
-9.18,4.06E-02,55.89,,,,,
